Timestamp,1a. Country of research institute,1b. Which best describes your affiliation with eDNA?,1c. How long have you worked with eDNA?,2a. At which career stage are you?,2b. How do you work with eDNA data/samples? (select all that apply),2a. Which area would you consider best describes your work? ,2b. How do you use/work with eDNA data/samples? (select all that apply),"3a. With regards to eDNA, where is your main area of expertise?",3b. What type of eDNA samples do you work with? ,"3c. With regards to eDNA, what type of organism(s) do you study (multiple choices allowed)","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Sampling methodology (in the field)]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Primer development (metabarcoding)]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Primer development (single-species)]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Reference database quality/completion]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Quantification of eDNA concentration and assessment of species abundance (single species)]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Quantification of eDNA concentration and assessment of species abundance (metabarcoding)]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Biomonitoring ]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Understanding behaviour of eDNA (decay, shedding, transport)]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Ability to interpret results]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Translation to practice]",3e. Where did you hear about this survey?
2023/09/07 7:04:36 AM GMT+3,United States,researcher (academic),> 5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Marine ecosystems,Water,Vertebrates;Invertebrates;Plants/Macroalgae;Prokaryotes,2,3,3,5 - extensive development needed,2,4,4,5 - extensive development needed,3,5 - extensive development needed,Email
2023/09/07 8:12:20 AM GMT+3,Canada,researcher (academic),> 5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Marine ecosystems,Water,Micro-eukaryotes;Prokaryotes,2,4,4,5 - extensive development needed,3,4,4,4,3,5 - extensive development needed,Social media
2023/09/07 8:33:40 AM GMT+3,Japan,researcher (academic),> 5 years,Master/Undergraduate,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Data Analysis (e.g., presence/absence or community assessment)",,,Freshwater ecosystems,Water,Vertebrates,4,No idea,3,No idea,5 - extensive development needed,4,4,5 - extensive development needed,No idea,5 - extensive development needed,Email
2023/09/07 8:49:29 AM GMT+3,South Africa,researcher (academic),2-5 years,Doctoral student,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Marine ecosystems,Water,Vertebrates,3,4,3,5 - extensive development needed,4,5 - extensive development needed,4,5 - extensive development needed,4,4,Email
2023/09/07 10:26:53 AM GMT+3,Switzerland,researcher (academic),2-5 years,Technician,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Bioinformatics (e.g., sequence filtering, taxonomic assignment)",,,Freshwater ecosystems,Water,Vertebrates,4,3,3,5 - extensive development needed,No idea,No idea,4,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,Email
2023/09/07 11:06:08 AM GMT+3,Austria,service provider (commercial sector),> 5 years,,,Commercial sector,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",Freshwater ecosystems,Soil;Sediment;Water,Vertebrates;Invertebrates;Plants/Macroalgae;Prokaryotes,5 - extensive development needed,2,2,4,3,4,5 - extensive development needed,4,5 - extensive development needed,5 - extensive development needed,Email
2023/09/07 11:23:35 AM GMT+3,Estonia,researcher (academic),2-5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Marine ecosystems,Sediment;Water,Vertebrates;Invertebrates;Prokaryotes,2,4,5 - extensive development needed,4,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,4,5 - extensive development needed,Email
2023/09/07 11:24:10 AM GMT+3,Spain,researcher (academic),> 5 years,Group leader/Professor,"Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Marine ecosystems,Sediment;Water,Invertebrates;Micro-eukaryotes;Prokaryotes,2,4,4,5 - extensive development needed,4,4,3,5 - extensive development needed,4,5 - extensive development needed,Email
2023/09/07 11:26:11 AM GMT+3,Slovenia,researcher (academic),< 2 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation)",,,Freshwater ecosystems,Water,Invertebrates,No idea,No idea,No idea,5 - extensive development needed,No idea,No idea,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,Email
2023/09/07 11:34:19 AM GMT+3,France,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Soil;Water,Vertebrates;Invertebrates,2,2,4,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,4,5 - extensive development needed,3,3,Email
2023/09/07 12:06:23 PM GMT+3,Spain,researcher (academic),2-5 years,Doctoral student,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Freshwater ecosystems,Sediment;Water;Biofilm,Invertebrates;Plants/Macroalgae,2,4,No idea,4,No idea,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,Email
2023/09/07 12:13:32 PM GMT+3,Germany,end-user (governmental organisation or similar),2-5 years,,,Government worker,"End-user implementing of results (e.g., conservation, policy)",Freshwater ecosystems,Water,Vertebrates,1 - little development needed,1 - little development needed,1 - little development needed,4,5 - extensive development needed,5 - extensive development needed,3,4,4,5 - extensive development needed,Email
2023/09/07 12:14:48 PM GMT+3,Ireland,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);End-user implementing of results (e.g., conservation, policy)",,,Freshwater ecosystems,Sediment;Water;Biofilm,Vertebrates;Invertebrates;Plants/Macroalgae;Micro-eukaryotes;Prokaryotes,5 - extensive development needed,3,3,5 - extensive development needed,3,4,5 - extensive development needed,5 - extensive development needed,4,5 - extensive development needed,Email
2023/09/07 12:49:17 PM GMT+3,Japan,service provider (commercial sector),< 2 years,,,Commercial sector,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment)",Freshwater ecosystems,Water,Vertebrates,2,5 - extensive development needed,5 - extensive development needed,4,3,4,4,5 - extensive development needed,4,4,Email
2023/09/07 1:12:36 PM GMT+3,France,researcher (academic),< 2 years,Post-Doc/Senior Researcher,"Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);Reference databasis",,,Freshwater ecosystems,Water,Plants/Macroalgae,2,4,4,5 - extensive development needed,3,4,5 - extensive development needed,4,5 - extensive development needed,5 - extensive development needed,Email
2023/09/07 1:30:12 PM GMT+3,Australia,researcher (academic),< 2 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Terrestrial ecosystems,Soil;Air,Vertebrates;Invertebrates;Plants/Macroalgae;Micro-eukaryotes;Prokaryotes,1 - little development needed,3,2,5 - extensive development needed,3,2,5 - extensive development needed,3,No idea,No idea,Social media
2023/09/07 1:43:08 PM GMT+3,Spain,researcher (academic),< 2 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment)",,,Freshwater ecosystems,Sediment;Water;Biofilm,Vertebrates;Invertebrates;Plants/Macroalgae;Prokaryotes,2,4,4,3,5 - extensive development needed,5 - extensive development needed,4,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,Email
2023/09/07 2:58:41 PM GMT+3,Canada,researcher (academic),2-5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Freshwater ecosystems,Soil;Sediment;Water,Vertebrates;Invertebrates;Prokaryotes,2,4,3,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,4,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,Email
2023/09/07 2:59:32 PM GMT+3,Hungary,researcher (academic),< 2 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Water,Invertebrates,2,3,2,4,4,5 - extensive development needed,4,No idea,3,3,Email
2023/09/07 3:23:26 PM GMT+3,Germany,researcher (academic),< 2 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Sediment;Water;Biofilm,Vertebrates;Invertebrates;Plants/Macroalgae;Micro-eukaryotes;Prokaryotes,2,4,3,5 - extensive development needed,4,5 - extensive development needed,4,4,3,4,Email
2023/09/07 3:53:47 PM GMT+3,Switzerland,end-user (governmental organisation or similar),< 2 years,,,Government worker,"Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",Freshwater ecosystems,Water,Invertebrates,No idea,No idea,No idea,No idea,No idea,No idea,5 - extensive development needed,No idea,5 - extensive development needed,5 - extensive development needed,Email
2023/09/07 4:05:37 PM GMT+3,Switzerland,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Terrestrial ecosystems,Soil;Sediment;Water,Vertebrates;Invertebrates;Plants/Macroalgae;Micro-eukaryotes;Prokaryotes,4,3,3,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,Email
2023/09/07 4:10:11 PM GMT+3,Austria,researcher (academic),< 2 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation)",,,Freshwater ecosystems,Water,Invertebrates,4,3,4,5 - extensive development needed,No idea,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,No idea,No idea,Email
2023/09/07 4:48:42 PM GMT+3,Italy,researcher (academic),2-5 years,Doctoral student,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Sediment;Water,Vertebrates;Invertebrates,5 - extensive development needed,3,3,4,4,4,4,No idea,No idea,No idea,Social media
